DE;EN;FR;SPECIES_CODE
Einfarbstärling (cyanopus);Unicolored Blackbird (Yellow-breasted);Carouge unicolore (cyanopus);unibla3
Goldschulterstärling;Yellow-winged Blackbird;Carouge galonné;yewbla2
Braunkopfstärling;Chestnut-capped Blackbird;Carouge à calotte rousse;chcbla2
Gelbkopfstärling;Yellow-hooded Blackbird;Carouge à capuchon;yehbla2
Goldstärling;Saffron-cowled Blackbird;Carouge safran;sacbla2
Gelbbürzelstärling;Yellow-rumped Marshbird;Carouge guirahuro;yermar1
Drachenstärling;Brown-and-yellow Marshbird;Carouge dragon;baymar1
Icteridae, unbestimmt;blackbird sp.;ictéridé sp.;blackb
Pieperwaldsänger;Ovenbird;Paruline couronnée;ovenbi1
Haldenwaldsänger;Worm-eating Warbler;Paruline vermivore;woewar1
Schwirrammer/Haldenwaldsänger;Chipping Sparrow/Worm-eating Warbler;Bruant familier ou Paruline vermivore;y00432
Stelzenwaldsänger;Louisiana Waterthrush;Paruline hochequeue;louwat
Drosselwaldsänger;Northern Waterthrush;Paruline des ruisseaux;norwat
Stelzen-/Drosselwaldsänger;Louisiana/Northern Waterthrush;Paruline hochequeue ou P. des ruisseaux;y00598
Gelbstirn-Waldsänger;Bachman's Warbler;Paruline de Bachman;bacwar
Goldflügel-Waldsänger;Golden-winged Warbler;Paruline à ailes dorées;gowwar
Blauflügel-Waldsänger;Blue-winged Warbler;Paruline à ailes bleues;buwwar
Goldflügel- x Blauflügel-Waldsänger (Hybrid);Golden-winged x Blue-winged Warbler (hybrid);Hybride Paruline à ailes dorées x P. à ailes bleues;x00669
Goldflügel- x Blauflügel-Waldsänger (F1-Hybrid);Brewster's Warbler (hybrid);Paruline de Brewster (hybride F1);brewar
Goldflügel- x Blauflügel-Waldsänger (F2-Hybrid);Lawrence's Warbler (hybrid);Paruline de Lawrence (hybride F2);lawwar
Goldflügel-/Blauflügel-Waldsänger;Golden-winged/Blue-winged Warbler;Paruline à ailes dorées ou P. à ailes bleues;y00665
Kletterwaldsänger;Black-and-white Warbler;Paruline noir et blanc;bawwar
Zitronenwaldsänger;Prothonotary Warbler;Paruline orangée;prowar
Swainsonwaldsänger;Swainson's Warbler;Paruline de Swainson;swawar
Schmuckwaldsänger;Crescent-chested Warbler;Paruline à croissant;crcwar
Feuerwaldsänger;Flame-throated Warbler;Paruline embrasée;fltwar1
Brauenwaldsänger;Tennessee Warbler;Paruline obscure;tenwar
Orangefleck-Waldsänger;Orange-crowned Warbler;Paruline verdâtre;orcwar
Orangefleck-Waldsänger (celata/orestera);Orange-crowned Warbler (Gray-headed);Paruline verdâtre (celata/orestera);orcwar5
Orangefleck-Waldsänger (celata);Orange-crowned Warbler (celata);Paruline verdâtre (celata);orcwar1
Orangefleck-Waldsänger (orestera);Orange-crowned Warbler (orestera);Paruline verdâtre (orestera);orcwar2
Orangefleck-Waldsänger (lutescens);Orange-crowned Warbler (lutescens);Paruline verdâtre (lutescens);orcwar3
Orangefleck-Waldsänger (sordida);Orange-crowned Warbler (sordida);Paruline verdâtre (sordida);orcwar4
Colimawaldsänger;Colima Warbler;Paruline de Colima;colwar
Rotbürzel-Waldsänger;Lucy's Warbler;Paruline de Lucy;lucwar
Rubinfleck-Waldsänger;Nashville Warbler;Paruline à joues grises;naswar
Rubinfleck-Waldsänger (ruficapilla);Nashville Warbler (ruficapilla);Paruline à joues grises (ruficapilla);naswar1
Rubinfleck-Waldsänger (ridgwayi);Nashville Warbler (ridgwayi);Paruline à joues grises (ridgwayi);naswar2
Brauen- x Rubinfleck-Waldsänger (Hybrid);Tennessee x Nashville Warbler (hybrid);Hybride Paruline obscure x P. à joues grises;x01013
Orangefleck- x Rubinfleck-Waldsänger (Hybrid);Orange-crowned x Nashville Warbler (hybrid);Hybride Paruline verdâtre x P. à joues grises;x00819
Gelbsteiß-Waldsänger;Virginia's Warbler;Paruline de Virginia;virwar
Colima- x Gelbsteiß-Waldsänger (Hybrid);Colima x Virginia's Warbler (hybrid);Hybride Paruline de Colima x P. de Virginia;x00638
Colima-/Gelbsteiß-Waldsänger;Colima/Virginia's Warbler;Paruline de Colima ou P. de Virginia;y01253
Leiothlypis, unbestimmt;Leiothlypis sp.;Leiothlypis sp.;vermiv1
Blassfuß-Waldsänger;Semper's Warbler;Paruline pied-blanc;semwar1
Augenring-Waldsänger;Connecticut Warbler;Paruline à gorge grise;conwar
Wiesengelbkehlchen;Gray-crowned Yellowthroat;Paruline à calotte grise;gycyel
Maskengelbkehlchen;Masked Yellowthroat;Paruline équatoriale;masyel2
Schwarzaugen-Gelbkehlchen;Black-lored Yellowthroat;Paruline à lores noirs;masyel4
Brasiliengelbkehlchen;Southern Yellowthroat;Paruline voilée;masyel5
Masken-/Schwarzaugen-/Brasiliengelbkehlchen;masked yellowthroat sp.;Paruline équatoriale, P. à lores noirs ou P. voilée;masyel1
Dickichtwaldsänger;MacGillivray's Warbler;Paruline des buissons;macwar
Graukopf-Waldsänger;Mourning Warbler;Paruline triste;mouwar
Augenring- x Graukopf-Waldsänger (Hybrid);Connecticut x Mourning Warbler (hybrid);Hybride Paruline à gorge grise x P. triste;x00746
Dickicht- x Graukopf-Waldsänger (Hybrid);MacGillivray's x Mourning Warbler (hybrid);Hybride Paruline des buissons x P. triste;x00699
Augenring-/Dickicht-/Graukopf-Waldsänger;Connecticut/MacGillivray's/Mourning Warbler;Paruline à gorge grise, P. des buissons ou P. triste;oporor1
Dickicht-/Graukopf-Waldsänger;MacGillivray's/Mourning Warbler;Paruline des buissons ou P. triste;y00628
Kentuckygelbkehlchen;Kentucky Warbler;Paruline du Kentucky;kenwar
Graukopf-Waldsänger x Kentuckygelbkehlchen (Hybrid);Mourning x Kentucky Warbler (hybrid);Hybride Paruline triste x P. du Kentucky;x00747
Olivscheitel-Gelbkehlchen;Olive-crowned Yellowthroat;Paruline des bambous;olcyel1
Olivscheitel-Gelbkehlchen (Bairdgelbkehlchen);Olive-crowned Yellowthroat (Baird's);Paruline des bambous (bairdi);olcyel2
Olivscheitel-Gelbkehlchen (chiriquensis);Olive-crowned Yellowthroat (Chiriqui);Paruline des bambous (chiriquensis);masyel3
Olivscheitel-Gelbkehlchen (semiflava);Olive-crowned Yellowthroat (Olive-crowned);Paruline des bambous (semiflava);olcyel3
Ockerbrust-Gelbkehlchen;Black-polled Yellowthroat;Paruline à face noire;blpyel1
Sumpfgelbkehlchen;Belding's Yellowthroat;Paruline de Belding;belyel1
Bahamagelbkehlchen;Bahama Yellowthroat;Paruline des Bahamas;bahyel1
Goldscheitel-Gelbkehlchen;Altamira Yellowthroat;Paruline à couronne jaune;altyel1
Weidengelbkehlchen;Common Yellowthroat;Paruline masquée;comyel
Weidengelbkehlchen [arizela-Gruppe];Common Yellowthroat (arizela Group);Paruline masquée (groupe arizela);comyel1
Weidengelbkehlchen [melanops-Gruppe];Common Yellowthroat (melanops Group);Paruline masquée (groupe melanops);comyel2
Weidengelbkehlchen [trichas-Gruppe];Common Yellowthroat (trichas Group);Paruline masquée (groupe trichas);comyel3
Weidengelbkehlchen (insperata);Common Yellowthroat (insperata);Paruline masquée (insperata);comyel5
