DE;EN;FR;SPECIES_CODE
Kaiserscharbe (Macquariescharbe);Imperial Cormorant (Macquarie);Cormoran impérial (purpurascens);macsha1
Guano- x Kaiserscharbe (Hybrid);Guanay x Imperial Cormorant (hybrid);Hybride Cormoran de Bougainville x C. impérial;x01186
Guano-/Kaiserscharbe;Guanay/Imperial Cormorant;Cormoran de Bougainville ou C. impérial;y01349
Phalacrocoracidae, unbestimmt;cormorant sp.;cormoran sp.;cormor1
Schneesichler;White Ibis;Ibis blanc;whiibi
Scharlachsichler;Scarlet Ibis;Ibis rouge;scaibi
Schnee- x Scharlachsichler (Hybrid);White x Scarlet Ibis (hybrid);Hybride Ibis blanc x I. rouge;x00428
Sichler;Glossy Ibis;Ibis falcinelle;gloibi
Brillensichler;White-faced Ibis;Ibis à face blanche;whfibi
Sichler x Brillensichler (Hybrid);Glossy x White-faced Ibis (hybrid);Hybride Ibis falcinelle x I. à face blanche;gxwibi1
Sichler/Brillensichler;Glossy/White-faced Ibis;Ibis falcinelle ou I. à face blanche;plegad
Punasichler;Puna Ibis;Ibis de Ridgway;punibi1
Brillen-/Punasichler;White-faced/Puna Ibis;Ibis à face blanche ou I. de Ridgway;y00836
Schopfibis;Madagascar Ibis;Ibis huppé;madibi1
Spitzschwanzibis;Sharp-tailed Ibis;Ibis à queue pointue;shtibi1
Grünibis;Green Ibis;Ibis vert;greibi1
Nacktzügelibis;Bare-faced Ibis;Ibis à face nue;bafibi1
Brillensichler/Nacktzügelibis;White-faced/Bare-faced Ibis;Ibis à face blance ou I. à face nue;y01263
Stirnbandibis;Plumbeous Ibis;Ibis plombé;pluibi1
Weißhalsibis;Buff-necked Ibis;Ibis mandore;bunibi1
Schwarzzügelibis;Black-faced Ibis;Ibis à face noire;bkfibi1
Andenibis;Andean Ibis;Ibis des Andes;bkfibi2
Schwarzzügel-/Andenibis;Black-faced/Andean Ibis;Ibis à face noire ou I. des Andes;blfibi1
Theristicus, unbestimmt;Theristicus sp.;Theristicus sp.;theris1
Pharaonenibis;African Sacred Ibis;Ibis sacré;sacibi2
Hellaugenibis;Malagasy Sacred Ibis;Ibis malgache;sacibi3
Pharaonen-/Hellaugenibis;African/Malagasy Sacred Ibis;Ibis sacré ou I. malgache;sacibi1
Réunionibis;Reunion Ibis;Ibis de La Réunion;reusol1
Schwarzkopfibis;Black-headed Ibis;Ibis à tête noire;blhibi1
Australibis;Australian Ibis;Ibis à cou noir;ausibi1
Stachelibis;Straw-necked Ibis;Ibis d'Australie;stnibi1
Austral- x Stachelibis (Hybrid);Australian x Straw-necked Ibis (hybrid);Hybride Ibis à cou noir x I. d'Australie;x01157
Warzenibis;Red-naped Ibis;Ibis noir;renibi1
Weißschulteribis;White-shouldered Ibis;Ibis de Davison;whsibi1
Riesenibis;Giant Ibis;Ibis géant;giaibi1
Waldrapp;Northern Bald Ibis;Ibis chauve;waldra1
Kahlkopfibis;Southern Bald Ibis;Ibis du Cap;balibi1
Nipponibis;Crested Ibis;Ibis nippon;creibi1
Olivibis;Olive Ibis;Ibis olive;oliibi2
São-Tomé-Ibis;Sao Tome Ibis;Ibis de Sao Tomé;oliibi3
Fleckenbrustibis;Spot-breasted Ibis;Ibis vermiculé;spbibi1
Hagedaschibis;Hadada Ibis;Ibis hagedash;hadibi1
Hagedaschibis (brevirostris);Hadada Ibis (Western);Ibis hagedash (brevirostris);hadibi2
Hagedaschibis (erlangeri/nilotica);Hadada Ibis (Eastern);Ibis hagedash (erlangeri/nilotica);hadibi6
Hagedaschibis (hagedash);Hadada Ibis (Southern);Ibis hagedash (hagedash);hadibi4
Klunkeribis;Wattled Ibis;Ibis caronculé;watibi1
Ibis, unbestimmt;ibis sp.;ibis sp.;ibis1
Löffler;Eurasian Spoonbill;Spatule blanche;eurspo1
Königslöffler;Royal Spoonbill;Spatule royale;royspo1
Rotgesichtlöffler;African Spoonbill;Spatule d'Afrique;afrspo1
Schwarzgesichtlöffler;Black-faced Spoonbill;Petite Spatule;blfspo1
Löffler x Schwarzgesichtlöffler (Hybrid);Eurasian x Black-faced Spoonbill (hybrid);Hybride Spatule blanche x Petite Spatule;x00883
Gelbschnabellöffler;Yellow-billed Spoonbill;Spatule à bec jaune;yebspo1
Rosalöffler;Roseate Spoonbill;Spatule rosée;rosspo1
Platalea, unbestimmt;spoonbill sp.;spatule sp.;spoonb1
Weißschopfreiher;White-crested Tiger-Heron;Onoré à huppe blanche;whcbit1
Marmorreiher;Rufescent Tiger-Heron;Onoré rayé;ruther1
Nacktkehlreiher;Bare-throated Tiger-Heron;Onoré du Mexique;btther1
Streifenreiher;Fasciated Tiger-Heron;Onoré fascié;father1
Tigrisoma, unbestimmt;tiger-heron sp.;Tigrisoma sp.;tigerh1
Kahnschnabelreiher;Boat-billed Heron;Savacou huppé;bobher1
Kahnschnabelreiher [zeledoni-Gruppe];Boat-billed Heron (Northern);Savacou huppé (groupe zeledoni);bobher3
Kahnschnabelreiher (cochlearius/panamensis);Boat-billed Heron (Southern);Savacou huppé (cochlearius/panamensis);bobher4
Speerreiher;Agami Heron;Héron agami;agaher1
Zickzackreiher;Zigzag Heron;Butor zigzag;zigher1
Rohrdommel;Eurasian Bittern;Butor étoilé;grebit1
Braunbart-Rohrdommel;Australasian Bittern;Butor d'Australie;ausbit1
Schwarzbart-Rohrdommel;American Bittern;Butor d'Amérique;amebit
Schuppenhals-Rohrdommel;Pinnated Bittern;Butor mirasol;pinbit1
Streifendommel;Stripe-backed Bittern;Blongios varié;stbbit1
Indianerdommel;Least Bittern;Petit Blongios;leabit
Indianerdommel (exilis/pullus);Least Bittern (Northern);Petit Blongios (exilis/pullus);leabit7
Indianerdommel [erythromelas-Gruppe];Least Bittern (Southern);Petit Blongios (groupe erythromelas);leabit8
Schwarzdommel;Black Bittern;Blongios à cou jaune;blabit1
Zimtdommel;Cinnamon Bittern;Blongios cannelle;cinbit1
Mandschurendommel;Schrenck's Bittern;Blongios de Schrenck;schbit1
Zimt-/Mandschurendommel;Cinnamon/Schrenck's Bittern;Blongios cannelle ou B. de Schrenck;y01116
Graurückendommel;Dwarf Bittern;Blongios de Sturm;dwabit1
Zwergdommel;Little Bittern;Blongios nain;litbit1
Zwergdommel (minutus);Little Bittern (Little);Blongios nain (minutus);litbit2
Zwergdommel (payesii);Little Bittern (African);Blongios nain (payesii);litbit3
Zwergdommel (podiceps);Little Bittern (Madagascar);Blongios nain (podiceps);litbit4
Chinadommel;Yellow Bittern;Blongios de Chine;yelbit
Zimt-/Chinadommel;Cinnamon/Yellow Bittern;Blongios cannelle ou B. de Chine;y00389
Schwarzmanteldommel;Black-backed Bittern;Blongios d'Australie;bkbbit1
Schwarzrückendommel;New Zealand Bittern;Blongios à dos noir;nezbit1
kleine Dommel, unbestimmt;small bittern sp.;blongios sp.;smabit1
Krabbenreiher;Yellow-crowned Night Heron;Bihoreau violacé;ycnher
Krabbenreiher [violacea-Gruppe];Yellow-crowned Night Heron (Yellow-crowned);Bihoreau violacé (groupe violacea);yecnih1
Krabbenreiher (pauper);Yellow-crowned Night Heron (Galapagos);Bihoreau violacé (pauper);yecnih2
Bermuda-Krabbenreiher;Bermuda Night Heron;Bihoreau des Bermudes;bernih1
Nachtreiher;Black-crowned Night Heron;Bihoreau gris;bcnher
Nachtreiher (nycticorax);Black-crowned Night Heron (Eurasian);Bihoreau gris (nycticorax);bkcnih1
Nachtreiher (hoactli);Black-crowned Night Heron (American);Bihoreau gris (hoactli);bkcnih2
Nachtreiher (obscurus);Black-crowned Night Heron (Dusky);Bihoreau gris (obscurus);bkcnih4
Nachtreiher (falklandicus);Black-crowned Night Heron (Falklands);Bihoreau gris (falklandicus);bkcnih3
Nacht- x Krabbenreiher (Hybrid);Yellow-crowned x Black-crowned Night Heron (hybrid);Hybride Bihoreau violacé x B. gris;x00704
Nacht-/Krabbenreiher;Yellow-crowned/Black-crowned Night Heron;Bihoreau violacé ou B. gris;y00610
Réunion-Nachtreiher;Reunion Night Heron;Bihoreau de La Réunion;reunih1
Mauritius-Nachtreiher;Mauritius Night Heron;Bihoreau de Maurice;maunih1
Rodrigues-Nachtreiher;Rodrigues Night Heron;Bihoreau de Rodrigues;rodnih1
Rotrückenreiher;Nankeen Night Heron;Bihoreau cannelle;runher1
Nacht- x Rotrückenreiher (Hybrid);Black-crowned x Nankeen Night Heron (hybrid);Hybride Bihoreau gris x B. cannelle;x01041
Nacht-/Rotrückenreiher;Black-crowned/Nankeen Night Heron;Bihoreau gris ou B. cannelle;y00940
Ascension-Nachtreiher;Ascension Night Heron;Bihoreau de l'Ascension;asnher1
Wellenreiher;Malayan Night Heron;Bihoreau malais;manher1
Rotscheitelreiher;Japanese Night Heron;Bihoreau goisagi;janher1
Rotscheitel-/Wellenreiher;Malayan/Japanese Night Heron;Bihoreau malais ou B. goisagi;y00941
Kappenreiher;Capped Heron;Héron coiffé;capher1
Pfeifreiher;Whistling Heron;Héron flûte-du-soleil;whiher1
Blaureiher;Little Blue Heron;Aigrette bleue;libher
Dreifarbenreiher;Tricolored Heron;Aigrette tricolore;triher
Blau- x Dreifarbenreiher (Hybrid);Little Blue x Tricolored Heron (hybrid);Hybride Aigrette bleue x A. tricolore;x00696
Rötelreiher;Reddish Egret;Aigrette roussâtre;redegr
Dreifarben- x Rötelreiher (Hybrid);Tricolored Heron x Reddish Egret (hybrid);Hybride Aigrette tricolore x A. roussâtre;x00785
Braunkehlreiher;Slaty Egret;Aigrette vineuse;slaegr1
Glockenreiher;Black Heron;Aigrette ardoisée;blaher1
Braunkehl-/Glockenreiher;Slaty Egret/Black Heron;Aigrette vineuse ou A. ardoisée;y01358
Riffreiher;Pacific Reef-Heron;Aigrette sacrée;pacreh1
Schneereiher;Chinese Egret;Aigrette de Chine;chiegr
Schmuckreiher;Snowy Egret;Aigrette neigeuse;snoegr
Blau- x Schmuckreiher (Hybrid);Little Blue Heron x Snowy Egret (hybrid);Hybride Aigrette bleue x A. neigeuse;x00615
Dreifarben- x Schmuckreiher (Hybrid);Tricolored Heron x Snowy Egret (hybrid);Hybride Aigrette tricolore x A. neigeuse;x00730
Seidenreiher;Little Egret;Aigrette garzette;litegr
Seidenreiher (garzetta);Little Egret (Western);Aigrette garzette (garzetta);litegr1
Seidenreiher (immaculata);Little Egret (Australasian);Aigrette garzette (immaculata);litegr3
Seidenreiher (dimorpha);Little Egret (Dimorphic);Aigrette garzette (dimorpha);litegr2
Schmuck- x Seidenreiher (Hybrid);Snowy x Little Egret (hybrid);Hybride Aigrette neigeuse x A. garzette;x00697
Küstenreiher;Western Reef-Heron;Aigrette à gorge blanche;werher
Küstenreiher (gularis);Western Reef-Heron (Western);Aigrette à gorge blanche (gularis);wesreh1
Küstenreiher (schistacea);Western Reef-Heron (Eastern);Aigrette à gorge blanche (schistacea);wesreh2
Seiden- x Küstenreiher (Hybrid);Little Egret x Western Reef-Heron (hybrid);Hybride Aigrette garzette x A. à gorge blanche;x00656
Seiden-/Küstenreiher;Little Egret/Western Reef-Heron;Aigrette garzette ou A. à gorge blanche;y00835
Elsterreiher;Pied Heron;Aigrette pie;pieher2
Weißwangenreiher;White-faced Heron;Aigrette à face blanche;whfher1
Egretta, unbestimmt;Egretta sp.;Egretta sp.;egrett1
Weißrückenreiher;White-backed Night Heron;Bihoreau à dos blanc;wbnher1
Hainanreiher;White-eared Night Heron;Bihoreau superbe;wenher1
Striated Heron;Striated Heron;Héron strié;strher2
Lavareiher;Lava Heron;Héron des Galapagos;strher3
Striated x Lava Heron (hybrid);Striated x Lava Heron (hybrid);Hybride Héron strié x H. des Galapagos;x01187
Striated/Lava Heron;Striated/Lava Heron;Héron strié ou H. des Galapagos;y01350
Little Heron;Little Heron;Héron des mangroves;strher1
Little Heron (African);Little Heron (African);Héron des mangroves (groupe atricapilla);lither1
Little Heron (Seychelles);Little Heron (Seychelles);Héron des mangroves (crawfordi/degens);lither4
Little Heron (Red Sea);Little Heron (Red Sea);Héron des mangroves (brevipes);strher6
Little Heron (Asian);Little Heron (Asian);Héron des mangroves (groupe javanica);lither5
Little Heron (Australasian);Little Heron (Australasian);Héron des mangroves (groupe stagnatilis);lither6
Little Heron (Tahiti);Little Heron (Tahiti);Héron des mangroves (patruelis);strher27
Grünreiher;Green Heron;Héron vert;grnher
Grünreiher (virescens/bahamensis);Green Heron (virescens/bahamensis);Héron vert (virescens/bahamensis);grnher1
Grünreiher (anthonyi);Green Heron (anthonyi);Héron vert (anthonyi);grnher2
Grünreiher (frazari);Green Heron (frazari);Héron vert (frazari);grnher3
Mangrove- x Grünreiher (Hybrid);Striated x Green Heron (hybrid);Hybride Héron strié x H. vert;x00765
Mangrove-/Grünreiher;Striated/Green Heron;Héron strié ou H. vert;y00771
Bindenreiher;Forest Bittern;Onoré phaéton;forbit1
Rotbauchreiher;Rufous-bellied Heron;Crabier à ventre roux;rubher2
Rallenreiher;Squacco Heron;Crabier chevelu;squher1
Dickschnabelreiher;Malagasy Pond-Heron;Crabier blanc;mapher1
Paddyreiher;Indian Pond-Heron;Crabier de Gray;inpher1
Bacchusreiher;Chinese Pond-Heron;Crabier de Chine;chpher1
Paddy- x Bacchusreiher (Hybrid);Indian x Chinese Pond-Heron (hybrid);Hybride Crabier de Gray x C. chinois;x01124
Prachtreiher;Javan Pond-Heron;Crabier malais;japher1
Bacchus- x Prachtreiher (Hybrid);Chinese x Javan Pond-Heron (hybrid);Hybride Crabier chinois x C. malais;x01125
Ardeola, unbestimmt;pond-heron sp.;crabier sp.;pondhe1
Kuhreiher;Western Cattle-Egret;Héron garde-boeufs;categr1
Seiden- x Kuhreiher (Hybrid);Little Egret x Western Cattle-Egret (hybrid);Hybride Aigrette garzette x Héron garde-boeufs;x01188
Koromandelkuhreiher;Eastern Cattle-Egret;Héron de Coromandel;categr2
Kuhreiher/Koromandelkuhreiher;Western/Eastern Cattle-Egret;Héron garde-boeufs ou H. de Coromandel;categr
Weißhalsreiher;Pacific Heron;Héron à tête blanche;pacher1
Silberreiher;Great Egret;Grande Aigrette;greegr
Silberreiher (alba);Great Egret (alba);Grande Aigrette (alba);greegr1
Silberreiher (melanorhynchos);Great Egret (African);Grande Aigrette (melanorhynchos);greegr4
Silberreiher (egretta);Great Egret (American);Grande Aigrette (egretta);greegr2
Silberreiher (modesta);Great Egret (modesta);Grande Aigrette (modesta);greegr3
Afrikamittelreiher;Yellow-billed Egret;Héron à bec jaune;integr3
Silberreiher/Afrikamittelreiher;Great/Yellow-billed Egret;Grande Aigrette ou Héron à bec jaune;y01235
Kuhreiher/Afrikamittelreiher;Western Cattle-Egret/Yellow-billed Egret;Héron garde-boeufs ou H. à bec jaune;y01236
Asienmittelreiher;Medium Egret;Héron intermédiaire;integr1
Koromandelkuhreiher/Asienmittelreiher;Eastern Cattle-Egret/Medium Egret;Héron de Coromandel ou H. intermédiaire;y01237
Silberreiher/Asienmittelreiher;Great/Medium Egret;Grande Aigrette ou Héron intermédiaire;y01238
Afrika-/Asienmittelreiher;Yellow-billed/Medium Egret;Héron à bec jaune ou H. intermédiaire;y01239
Pazifikmittelreiher;Plumed Egret;Héron plumifère;integr2
Koromandelkuhreiher/Pazifikmittelreiher;Eastern Cattle-Egret/Plumed Egret;Héron de Coromandel ou H. plumifère;y01240
Silberreiher/Pazifikmittelreiher;Great/Plumed Egret;Grande Aigrette ou Héron plumifère;y01241
Asien-/Pazifikmittelreiher;Medium/Plumed Egret;Héron intermédiaire ou H. plumifère;y01242
Graureiher;Gray Heron;Héron cendré;graher1
Graureiher (cinerea/jouyi);Gray Heron (Gray);Héron cendré (cinerea/jouyi);gryher1
Graureiher (firasa);Gray Heron (Madagascar);Héron cendré (firasa);gryher3
Graureiher (monicae);Gray Heron (Mauritanian);Héron cendré (monicae);gryher2
Seiden- x Graureiher (Hybrid);Little Egret x Gray Heron (hybrid);Hybride Aigrette garzette x Héron cendré;x01189
Silber- x Graureiher (Hybrid);Great Egret x Gray Heron (hybrid);Hybride Grande Aigrette x Héron cendré;x00398
Kanadareiher;Great Blue Heron;Grand Héron;grbher3
Kanadareiher [herodias-Gruppe];Great Blue Heron (Great Blue);Grand Héron (groupe herodias);grbher
Kanadareiher (occidentalis);Great Blue Heron (Great White);Grand Héron (occidentalis);grwher
Kanadareiher (wardi x occidentalis);Great Blue Heron (Wurdemann's);Grand Héron (forme de Würdemann);wurher
Silber- x Kanadareiher (Hybrid);Great Egret x Great Blue Heron (hybrid);Hybride Grande Aigrette x Grand Héron;x00677
Cocoireiher;Cocoi Heron;Héron cocoi;cocher1
Silber- x Cocoireiher (Hybrid);Great Egret x Cocoi Heron (hybrid);Hybride Grande Aigrette x Héron cocoi;x01051
Kanada- x Cocoireiher (Hybrid);Great Blue x Cocoi Heron (hybrid);Hybride Grand Héron x H. cocoi;x00784
Kanada-/Cocoireiher;Great Blue/Cocoi Heron;Grand Héron ou H. cocoi;y00834
Purpurreiher;Purple Heron;Héron pourpré;purher1
Purpurreiher (bournei);Purple Heron (Bourne's);Héron pourpré (bournei);purher2
Purpurreiher [purpurea-Gruppe];Purple Heron (Purple);Héron pourpré (groupe purpurea);purher3
Grau- x Purpurreiher (Hybrid);Gray x Purple Heron (hybrid);Hybride Héron cendré x H. pourpré;x01050
Grau-/Purpurreiher;Gray/Purple Heron;Héron cendré ou H. pourpré;y01021
Madagaskarreiher;Humblot's Heron;Héron de Humblot;humher1
Weißbauchreiher;White-bellied Heron;Héron impérial;whbher2
Rußreiher;Great-billed Heron;Héron typhon;grbher2
Schwarzhalsreiher;Black-headed Heron;Héron mélanocéphale;blhher1
Goliathreiher;Goliath Heron;Héron goliath;golher1
Ardea, unbestimmt;Ardea sp.;Ardea sp.;ardea1
Reiher, unbestimmt;heron sp.;ardeidé sp.;heron1
weißer Reiher, unbestimmt;white egret sp.;aigrette ou héron blanc sp.;whiegr1
Hammerkopf;Hamerkop;Ombrette africaine;hamerk1
Schuhschnabel;Shoebill;Bec-en-sabot du Nil;shoebi1
Nashornpelikan;American White Pelican;Pélican d'Amérique;amwpel
Braunpelikan;Brown Pelican;Pélican brun;brnpel
Braunpelikan (carolinensis);Brown Pelican (Atlantic);Pélican brun (carolinensis);brnpel2
Braunpelikan (californicus);Brown Pelican (California);Pélican brun (californicus);brnpel3
Braunpelikan (occidentalis/murphyi);Brown Pelican (Southern);Pélican brun (occidentalis/murphyi);brnpel1
Braunpelikan (urinator);Brown Pelican (Galapagos);Pélican brun (urinator);brnpel4
Chilepelikan;Peruvian Pelican;Pélican thage;perpel1
Rosapelikan;Great White Pelican;Pélican blanc;grwpel1
Brillenpelikan;Australian Pelican;Pélican à lunettes;auspel1
Rötelpelikan;Pink-backed Pelican;Pélican gris;pibpel1
Graupelikan;Spot-billed Pelican;Pélican à bec tacheté;spbpel1
Krauskopfpelikan;Dalmatian Pelican;Pélican frisé;dalpel1
Rosa- x Krauskopfpelikan (Hybrid);Great White x Dalmatian Pelican (hybrid);Hybride Pélican blanc x P. frisé;x00842
Pelikan, unbestimmt;pelican sp.;pélican sp.;pelica1
Kalifornienkondor;California Condor;Condor de Californie;calcon
Königsgeier;King Vulture;Sarcoramphe roi;kinvul1
Andenkondor;Andean Condor;Condor des Andes;andcon1
Rabengeier;Black Vulture;Urubu noir;blkvul
Truthahngeier;Turkey Vulture;Urubu à tête rouge;turvul
Truthahngeier [aura-Gruppe];Turkey Vulture (Northern);Urubu à tête rouge (aura/septentrionalis);turvul2
Truthahngeier (unbeschriebene Form);Turkey Vulture (Choco);Urubu à tête rouge (forme non décrite du Choco);turvul6
Truthahngeier (ruficollis);Turkey Vulture (Tropical);Urubu à tête rouge (ruficollis);turvul1
Truthahngeier (jota);Turkey Vulture (South Temperate);Urubu à tête rouge (jota);turvul3
Savannen-Gelbkopfgeier;Lesser Yellow-headed Vulture;Urubu à tête jaune;lyhvul1
Wald-Gelbkopfgeier;Greater Yellow-headed Vulture;Grand Urubu;gyhvul1
Cathartes, unbestimmt;Cathartes sp.;Cathartes sp.;cathar1
Neuweltgeier, unbestimmt;new world vulture sp.;cathartidé sp.;vultur1
Sekretär;Secretarybird;Messager sagittaire;secret2
Fischadler;Osprey;Balbuzard pêcheur;osprey
Fischadler (haliaetus);Osprey (Eurasian);Balbuzard pêcheur (haliaetus);osprey3
Fischadler (carolinensis);Osprey (American);Balbuzard pêcheur (carolinensis);osprey1
Fischadler (ridgwayi);Osprey (Caribbean);Balbuzard pêcheur (ridgwayi);osprey2
Fischadler (Haubenfischadler);Osprey (Australasian);Balbuzard pêcheur (cristatus);osprey4
Perlaar;Pearl Kite;Élanion perle;peakit1
Schwalbenschwanzaar;Scissor-tailed Kite;Élanion naucler;sctkit1
Weißschwanzaar;White-tailed Kite;Élanion à queue blanche;whtkit
Gleitaar;Black-winged Kite;Élanion blanc;bkskit1
Gleitaar (caeruleus);Black-winged Kite (African);Élanion blanc (caeruleus);bkskit2
Gleitaar [vociferus-Gruppe];Black-winged Kite (Asian);Élanion blanc (groupe vociferus);bkskit3
Australienaar;Black-shouldered Kite;Élanion d'Australie;auskit1
Schwarzachselaar;Letter-winged Kite;Élanion lettré;lewkit1
Höhlenweih;African Harrier-Hawk;Gymnogène d'Afrique;afhhaw1
Madagaskarhöhlenweih;Madagascar Harrier-Hawk;Gymnogène de Madagascar;mahhaw1
Palmgeier;Palm-nut Vulture;Palmiste africain;panvul1
Bartgeier;Bearded Vulture;Gypaète barbu;lammer1
Bartgeier (barbatus);Bearded Vulture (Eurasian);Gypaète barbu (barbatus);lammer2
Bartgeier (meridionalis);Bearded Vulture (African);Gypaète barbu (meridionalis);lammer3
Schmutzgeier;Egyptian Vulture;Percnoptère d'Égypte;egyvul1
Geckoweih;Madagascar Serpent-Eagle;Firasabé de Madagascar;maseag1
Langschnabelweih;Hook-billed Kite;Bec-en-croc de Temminck;hobkit
Langschnabelweih (uncinatus);Hook-billed Kite (Hook-billed);Bec-en-croc de Temminck (uncinatus);hobkit1
Langschnabelweih (mirus);Hook-billed Kite (Grenada);Bec-en-croc de Temminck (mirus);hobkit3
Kubaweih;Cuban Kite;Bec-en-croc de Cuba;hobkit2
Cayenneweih;Gray-headed Kite;Bec-en-croc de Cayenne;grhkit1
Kragenweih;White-collared Kite;Bec-en-croc de Forbes;whckit1
Kuckucksweih;African Cuckoo-Hawk;Baza coucou;afrcuh1
Lemurenweih;Madagascar Cuckoo-Hawk;Baza malgache;madcuh1
Orientweih;Jerdon's Baza;Baza de Jerdon;jerbaz1
Papuaweih;Pacific Baza;Baza huppé;pacbaz1
Dreifarbweih;Black Baza;Baza huppard;blabaz1
Wespenbussard;European Honey-buzzard;Bondrée apivore;euhbuz1
Schopfwespenbussard;Oriental Honey-buzzard;Bondrée orientale;orihob2
Schopfwespenbussard (orientalis);Oriental Honey-buzzard (Northern);Bondrée orientale (orientalis);orihob3
Schopfwespenbussard (ruficollis/philippensis);Oriental Honey-buzzard (Indomalayan);Bondrée orientale (ruficollis/philippensis);orihob4
Schopfwespenbussard [ptilorhynchus-Gruppe];Oriental Honey-buzzard (Sunda);Bondrée orientale (groupe ptilorhynchus);orihob10
Wespen- x Schopfwespenbussard (Hybrid);European x Oriental Honey-buzzard (hybrid);Hybride Bondrée apivore x B. orientale;x00786
Wespen-/Schopfwespenbussard;European/Oriental Honey-buzzard;Bondrée apivore ou B. orientale;y00658
Celebeswespenbussard;Sulawesi Honey-buzzard;Bondrée des Célèbes;barhob1
Philippinenwespenbussard;Philippine Honey-buzzard;Bondrée de Steere;barhob2
Schwalbenweih;Swallow-tailed Kite;Naucler à queue fourchue;swtkit
Schwarzbrustweih;Black-breasted Kite;Bondrée à plastron;bkbkit1
Milanweih;Square-tailed Kite;Bondrée à queue carrée;sqtkit1
Langschwanzweih;Long-tailed Honey-buzzard;Bondrée à longue queue;lthbuz1
Bänderweih;Black Honey-buzzard;Bondrée noire;blhbuz1
Kahlkopfgeier;Red-headed Vulture;Vautour royal;rehvul1
Wollkopfgeier;White-headed Vulture;Vautour à tête blanche;whhvul1
Mönchsgeier;Cinereous Vulture;Vautour moine;cinvul1
Ohrengeier;Lappet-faced Vulture;Vautour oricou;lafvul1
Kappengeier;Hooded Vulture;Vautour charognard;hoovul1
Schneegeier;Himalayan Griffon;Vautour de l'Himalaya;himgri1
Bengalengeier;White-rumped Vulture;Vautour chaugoun;whrvul1
Weißrückengeier;White-backed Vulture;Vautour africain;whbvul1
Indiengeier;Indian Vulture;Vautour indien;indvul1
Dünnschnabelgeier;Slender-billed Vulture;Vautour à long bec;slbvul1
Kapgeier;Cape Griffon;Vautour chassefiente;capgri1
Weißrücken-/Kapgeier;White-backed Vulture/Cape Griffon;Vautour africain ou V. chassefiente;y00942
Sperbergeier;Rüppell's Griffon;Vautour de Rüppell;ruegri1
Weißrücken-/Sperbergeier;White-backed Vulture/Rüppell's Griffon;Vautour africain ou V. de Rüppell;y00634
Gänsegeier;Eurasian Griffon;Vautour fauve;eurgri1
Sperber-/Gänsegeier;Rüppell's/Eurasian Griffon;Vautour de Rüppell ou V. fauve;y00837
Schnee-/Gänsegeier;Himalayan/Eurasian Griffon;Vautour de l'Himalaya ou V. fauve;y00838
Gyps, unbestimmt;Gyps sp.;Gyps sp.;gyps1
Altweltgeier, unbestimmt;old world vulture sp.;vautour sp.;olwvul1
Nikobarenschlangenadler;Nicobar Serpent-Eagle;Serpentaire des Nicobar;nicsee1
Sulawesischlangenadler;Sulawesi Serpent-Eagle;Serpentaire des Célèbes;suseag1
Bergschlangenadler;Mountain Serpent-Eagle;Serpentaire du Kinabalu;moseag1
Haubenschlangenadler;Crested Serpent-Eagle;Serpentaire bacha;crseag1
Haubenschlangenadler [cheela-Gruppe];Crested Serpent-Eagle (Crested);Serpentaire bacha (groupe cheela);cresee1
Haubenschlangenadler (davisoni);Crested Serpent-Eagle (Andaman);Serpentaire bacha (davisoni);cresee9
Haubenschlangenadler (minimus);Crested Serpent-Eagle (Central Nicobar);Serpentaire bacha (minimus);cresee5
Haubenschlangenadler (perplexus);Crested Serpent-Eagle (Ryukyu);Serpentaire bacha (perplexus);cresee7
Haubenschlangenadler (natunensis);Crested Serpent-Eagle (Natuna);Serpentaire bacha (natunensis);cresee6
Haubenschlangenadler (abbotti);Crested Serpent-Eagle (Simeulue);Serpentaire bacha (abbotti);cresee2
Haubenschlangenadler (asturinus);Crested Serpent-Eagle (Nias);Serpentaire bacha (asturinus);cresee3
Haubenschlangenadler (sipora);Crested Serpent-Eagle (Mentawai);Serpentaire bacha (sipora);cresee8
Haubenschlangenadler (baweanus);Crested Serpent-Eagle (Bawean);Serpentaire bacha (baweanus);cresee4
Philippinenschlangenadler;Philippine Serpent-Eagle;Serpentaire des Philippines;phseag1
Andamanenschlangenadler;Andaman Serpent-Eagle;Serpentaire des Andaman;anseag1
Affenadler;Philippine Eagle;Pithécophage des Philippines;grpeag1
Gaukler;Bateleur;Bateleur des savanes;batele1
Bandschlangenadler;Western Banded Snake-Eagle;Circaète cendré;baseag1
Graubrust-Schlangenadler;Southern Banded Snake-Eagle;Circaète barré;faseag1
Kongoschlangenadler;Congo Snake-Eagle;Circaète du Congo;coseag1
Beaudouin-Schlangenadler;Beaudouin's Snake-Eagle;Circaète de Beaudouin;beasne1
Schwarzbrust-Schlangenadler;Black-chested Snake-Eagle;Circaète à poitrine noire;bkbsne1
Schlangenadler;Short-toed Snake-Eagle;Circaète Jean-le-Blanc;shteag1
Einfarb-Schlangenadler;Brown Snake-Eagle;Circaète brun;brseag1
Circaetus, unbestimmt;snake-eagle sp.;circaète sp.;snakee1
Kronenadler;Crowned Eagle;Aigle couronné;crheag1
Dschungelhaubenadler;Wallace's Hawk-Eagle;Aigle de Wallace;walhae1
Ceylonhaubenadler;Legge's Hawk-Eagle;Aigle de Legge;mouhae2
